Title,Description,Start Date,Start Time,End Time,Location,Category,Registration Type,Speakers
"Chegada e boas vindas Credenciamento e café",,2026-05-18,08:00,,Anfiteatro,Abertura,registration_disabled,
"Mesa de Abertura Organização etc (30 min)","Eduardo me informou hoje que talvez não consiga estar presente. Estou vendo com ele outro bancário (MHonda)",2026-05-18,09:00,09:30,Anfiteatro,Mesa,pending,"Presidente dos Bancários DF (A CONFIRMAR), Marcia Honda (CONFIRMADO), Alexandre Arns González (A CONFIRMAR), Beá (CONFIRMADO), Renata Miele ou Bia Barbosa (A CONFIRMAR)"
"Mesa 1– Cenário atual da Soberania Digital no Brasil",,2026-05-18,09:30,10:30,Anfiteatro,Mesa,registration_disabled,"João Cassino (CONFIRMADO), Julia Santa Anna Mello (CONFIRMADO), Sérgio Amadeu da Silveira (CONFIRMADO), Márcia Barbosa (A CONFIRMAR)"
"Caminhos da soberania Digital no Brasil -Zé Dirceu - Ex Ministro da Casa Civil do Brasil - CONFIRMADO","Coffe break rolando sigilosamente",2026-05-18,10:30,11:00,Anfiteatro,Palestra,registration_disabled,"Zé Dirceu (CONFIRMADO)"
"Mesa 2: Movimentos sociais em luta pela soberania digital","10 min de intervenção para cada movimento + 40 min de debate",2026-05-18,11:05,12:30,Anfiteatro,Mesa,registration_disabled,"Natalia Blanco (CONFIRMADO), Raul Amorim (CONFIRMADO), Felipe Bonel (CONFIRMADO), Bruna Camilo (CONFIRMADA), Bárbara Coelho (CONFIRMADA)"
"ALMOÇO",,2026-05-18,12:30,14:00,Anfiteatro,Intervalo,registration_disabled,
"Mesa 3: Soberania digital desde o sul: condição para o desenvolvimento econômico, político e social.","Controlar dados, infraestrutura e tecnologias é condição para crescer com autonomia. Sem soberania digital, o país entrega seus dados e recursos naturais, fragiliza sua democracia e se mantém refém de interesses estrangeiros. Investir em tecnologias livres significa investir em soberania, trabalho, educação, cultura, inovação e justiça social. O futuro será digital e precisa ser nacional.",2026-05-18,14:00,15:25,Anfiteatro,Mesa,registration_disabled,"Fiorella Haim (CONFIRMADA), Jeff Xiong (CONFIRMADO), Isadora Rocha (CONFIRMADA)"
"Mesa 4 - Regulação da Internet no Brasil e soberania digital: de Redes Sociais, algorítimos, econômica",,2026-05-18,15:30,16:30,Anfiteatro,Mesa,registration_disabled,"Helena Martins (CONFIRMADA), André Boselli (CONFIRMADO), Paulo Rená (CONFIRMADO)"
"Mesa 5: Infraestrutura, chips, e ""nuvem"" soberanos e livres",,2026-05-18,16:30,17:30,Anfiteatro,Mesa,registration_disabled,"Marco Sunye (CONFIRMADO), Manoel Fonseca Neto (CONFIRMADO), Olival Freire (A CONFIRMAR), Laisa Caroline Costa De Biase (CAIU), Valdir Paixao (CAIU)"
"Coffee break – 20 mn MÚSICA",,2026-05-18,17:30,17:50,Anfiteatro,Intervalo,registration_disabled,
"Mesa 6: Propostas Emergenciais para a Soberania Digital do Brasil","Quais os passos para a construção de nossa Soberania Digital?",2026-05-18,17:50,20:15,Anfiteatro,Mesa,registration_disabled,"Sérgio Amadeu (CONFIRMADO), Beatriz Tibiriçá (CONFIRMADA), TC Silva (CONFIRMADO), Tica Moreno (CONFIRMADA), José Vital (CONFIRMADO), Stédile (???), José Murilo de Carvalho (CONFIRMADO)"
"Proposta de Encontro com o Presidente da República do Brasil","A CONFIRMAR",2026-05-18,20:15,,Anfiteatro,Especial,registration_disabled,
"Encontro",,2026-05-18,20:30,,Anfiteatro,Especial,registration_disabled,
"Chegada e boas vindas",,2026-05-19,08:30,,Anfiteatro,Abertura,registration_disabled,
"Mesa 7 - O que é Soberania Digital e o que o Software livre tem a ver com isso?",,2026-05-19,09:00,10:30,Anfiteatro,Mesa,registration_disabled,"Wladimir (CONFIRMADO), Corinto (A CONFIRMAR), Marcelo Branco (A CONFIRMAR), Coe1ho (CONFIRMADO), John Maddog Hall (CONFIRMADO), Rafael (CONFIRMADO)"
"Mesa 8 - Soberania Digital no contexto das Universidades",,2026-05-19,10:35,12:00,Anfiteatro,Mesa,registration_disabled,"Leozenha (CONFIRMADO), Marcos Sunyê (CONFIRMADO), ka.Menezes (CONFIRMADA), Leticia Cesarino (CONFIRMADA), Priscila Gonzales (CONFIRMADA)"
"Almoço com Música",,2026-05-19,12:00,13:30,Anfiteatro,Intervalo,registration_disabled,
